
""
"Kontostand vom 05.02.2024:";"10000 EUR"
""
"Buchungsdatum";"Wertstellung";"Status";"Zahlungspflichtige*r";"Zahlungsempfänger*in";"Verwendungszweck";"Umsatztyp";"IBAN";"Betrag (€)";"Gläubiger-ID";"Mandatsreferenz";"Kundenreferenz"
1984-10-23;1995-08-28;Abgelehnt;Liesbeth Winkler;Salih Reising;Illum dolor quidem illum.;Lastschrift;DE78677973485887141881;-290,04;680593717672976996;582987972933161733;445280066109911509
2012-03-02;2011-08-01;Abgelehnt;Lisette Bauer;Angela Lorch;Aliquid dolores vero quod officia iste.;Überweisung;DE84478556576245678966;586,46;869334802489734663;836350708858105007;445547574963835248
1992-04-07;1979-12-03;Abgelehnt;Julie Kreusel-Reichmann;Dipl.-Ing. Ekaterina Aumann B.Eng.;Reprehenderit consectetur ad ratione sint minus.;Überweisung;DE37865700493890278309;311,8;422864372322746270;711847847747812514;991760254454777611
2012-04-02;1971-07-06;Abgelehnt;Dr. Roderich Henk B.Eng.;Solveig Trüb B.Eng.;Cupiditate voluptate recusandae accusantium tempore fuga sint.;Überweisung;DE51125850222797668274;251,23;554301446547652916;126665711382118886;611841249134213489
1975-11-12;2011-09-18;Abgelehnt;Hans-Hermann Roskoth;Agatha Röhrdanz;Distinctio error sequi.;Lastschrift;DE96028376329068516895;-268,17;462284155221104547;794933780033930020;412998541101634982
1999-03-26;2003-02-28;Abgelehnt;Olena Holsten-Gerlach;Dipl.-Ing. Hans-Herbert Kabus B.A.;Laborum minus possimus est alias nihil reiciendis reiciendis.;Überweisung;DE75909978203418435184;126,53;335963313407278721;984661707646666032;613020293187214884
1978-08-03;2000-01-08;Abgelehnt;Herr Willibert Bruder B.Sc.;Sylke Müller B.A.;Facilis quas ipsam deserunt qui officia.;Überweisung;DE77705474372309975005;-330,87;834796198746240737;901320930841556833;983631146069141930
1996-12-15;1993-12-11;Abgelehnt;Birgid Hellwig-Sorgatz;Friedlinde Christoph;Rerum dolorem iure ipsam harum reprehenderit.;Lastschrift;DE12336976595673716403;-398,09;274522269731773480;182129834670912298;920274481149475619
2022-10-29;1997-06-07;Abgelehnt;Fanny Trapp B.Sc.;Valerie Eimer;Corrupti inventore nulla voluptatibus tempora earum.;Überweisung;DE85305767212757871063;-923,25;804913820474683619;715152675786640377;744028171744353305
2004-09-17;1973-12-02;Abgelehnt;Dipl.-Ing. Käthe Bohnbach;Antonino Weitzel;Laboriosam tenetur qui sunt.;Lastschrift;DE22933858813422281694;246,07;081041021776696320;577329700152248181;384859220561814145
2010-10-12;2014-08-14;Erfolgreich;Ing. Pierre Wagenknecht B.Eng.;Yusuf Pärtzelt;Harum quo quos praesentium perspiciatis optio expedita.;Überweisung;DE89758725234267615219;-51,86;885414500446004196;076884168277000722;563818465134053429
1981-07-16;2006-06-22;Abgelehnt;Ladislaus Girschner;Hans-Jochen Franke;Ab reprehenderit ipsum nulla cum.;Überweisung;DE63541255839281046004;-737,09;031313911389692125;142770931400357171;721323963873708908
2003-09-06;2006-06-02;Erfolgreich;Arnd Trubin B.A.;Lissy Haering B.Sc.;Occaecati repellendus accusamus.;Lastschrift;DE60837127224024498928;-96,82;051404156136723957;511869886404508009;944855728864357995
2012-05-26;2012-12-02;Erfolgreich;Mahmut Jopich;Dipl.-Ing. Stavros Tschentscher;Possimus nemo repudiandae doloremque.;Lastschrift;DE52982876707157104120;-355,91;650215430601381666;426776532237616413;036434072682010626
1986-05-22;2014-06-03;Abgelehnt;Ing. Elmar Fiebig MBA.;Prof. Sükrü Schuster MBA.;Accusantium odit nihil dolor aliquid.;Überweisung;DE25454519811795737912;-391,84;286969185462814282;785213007092119943;924345313090587114
2000-12-30;1978-04-17;Erfolgreich;Dr. Roselinde Bolnbach;Norma Mies;Temporibus ipsam nisi eveniet iure quam quis ipsum.;Lastschrift;DE61104434006194003133;277,21;632223242053918220;447970668873750016;607449244809524187
1987-10-15;2014-07-08;Abgelehnt;Juan Schacht;Stella Hörle;Asperiores nobis eveniet tempora dolore earum nisi.;Überweisung;DE16628409003738359392;632,34;759169932267587845;245816698935591462;144214418166644467
2018-01-28;1971-11-14;Abgelehnt;Prof. Lilija Scheuermann B.Sc.;Herr Robin Hamann MBA.;Nisi alias repellat quam.;Lastschrift;DE44874144869563101997;102,51;270752333849525509;743783447183645414;115606243008392840
2017-11-11;1987-09-02;Abgelehnt;Aysel Jäntsch-Radisch;Udo Flantz-Sölzer;Corporis veritatis iure.;Überweisung;DE70748088987441383112;-610,07;550941724377936926;902510738399766990;366784930367139251
1993-12-19;1976-06-15;Erfolgreich;Mariechen Junitz-Hofmann;Karina Hentschel;Quod porro velit veritatis animi sint minima.;Überweisung;DE74307762409920438081;43,98;072339430070247078;445056611592356179;049012171459372973
1996-01-02;1974-08-28;Erfolgreich;Ing. Eric Knappe B.Sc.;Ing. Anna-Lena Karz B.A.;Natus eum harum corrupti quis cupiditate possimus recusandae.;Lastschrift;DE37733773920250010112;611,23;632871065831494934;240672183682404070;738477816922235335
1984-12-25;2016-06-04;Erfolgreich;Abdul Rose;Christina Sontag B.Sc.;Odit labore voluptas praesentium aut.;Lastschrift;DE98233810056753520856;-956,07;076003493675074737;368817736139508427;719776803278177215
1991-11-07;1977-01-20;Abgelehnt;Prof. Gertrude Schüler;Micha auch Schlauchin;Deleniti corrupti assumenda ut occaecati laboriosam corrupti.;Überweisung;DE45080340119694502176;-176,85;332965355960039509;675433836049382350;397244851045901551
1972-02-03;1974-05-02;Erfolgreich;Bastian Heinrich;Klaus Dieter Carsten;Dolores cum facilis rem voluptate tempora.;Lastschrift;DE65787859459015984130;953,63;320807614709848149;002850040623568331;360544537666383771
2020-09-12;1989-11-08;Erfolgreich;Gislinde Kaul;Reinhild Sager B.Sc.;Ipsa in fuga suscipit.;Lastschrift;DE44778775973289915351;-89,43;144156679941171647;786678427285802638;710049193702155070
1999-04-25;1982-01-05;Erfolgreich;Arnd Bachmann;Jose Söding;Laudantium omnis consequuntur accusamus.;Lastschrift;DE95857804506515448075;725,88;189764387343027333;220168558433888011;450374571541458217
1992-08-05;2000-09-11;Abgelehnt;Nada Stahr-Kallert;Dipl.-Ing. Reinhard Fischer B.Sc.;Magnam at magnam dignissimos est recusandae.;Lastschrift;DE88834412591064568236;180,36;163457760141983933;893154440568571014;039307546854464084
2021-01-22;1979-04-08;Abgelehnt;Marcel Harloff B.Sc.;Brian Stiebitz B.Sc.;Vel occaecati error inventore illum recusandae.;Überweisung;DE21681501491175202516;116,64;878385521605220763;993348147377067724;894467463641917054
1992-09-19;1987-11-24;Abgelehnt;Univ.Prof. Jeannine Budig MBA.;Swantje Scheuermann MBA.;Expedita iure repudiandae odit a eveniet distinctio.;Überweisung;DE91599670382013152972;694,27;942835285981435873;563803907314316372;076749629493999915
1970-11-22;1973-03-14;Abgelehnt;Hasso Löchel;Dipl.-Ing. Gordana Warmer B.Eng.;Magnam sit asperiores tempora aperiam veniam aut.;Lastschrift;DE42615901770633725274;688,51;037147483926864136;345417336228883126;478654243246744875
1982-08-20;2001-10-17;Erfolgreich;Frank-Michael Bähr;Kenan Schuster MBA.;Neque aut eligendi aut aliquid quidem veritatis.;Lastschrift;DE12524323551203446707;826,57;618986383126444099;500223834470319331;609105668668385003
2010-06-05;2016-09-28;Erfolgreich;Veit Birnbaum B.Eng.;Giorgio Neureuther-Vollbrecht;Asperiores excepturi dolor.;Lastschrift;DE75174940045316500886;858,3;048130825429557447;948422612274141733;074574947577007787
2004-08-14;1991-03-25;Abgelehnt;Univ.Prof. Beatrix Seifert MBA.;Ing. Sami Bolnbach;Rerum a error accusamus voluptas.;Überweisung;DE71182103926658385890;-70,14;386870150569038631;891498347205685507;555133004478208884
2012-10-05;1976-08-01;Erfolgreich;Ursel Lachmann;Mehmet Schinke;Est tenetur itaque corrupti.;Lastschrift;DE29614559641690047197;-806,78;960493893253140021;537227098150667774;648342622403585310
2008-02-25;2021-06-27;Erfolgreich;Milan Kroker;Aynur Hübel;Eligendi quos nesciunt vero.;Lastschrift;DE75239724592354937083;602,04;935692479356611433;038599342325889200;697595821841780690
1986-11-15;2020-01-13;Abgelehnt;Centa Lindau;Ing. Silvio Rosenow;Expedita accusamus odit tenetur culpa neque.;Lastschrift;DE55424346857422393584;-152,24;400257852598575751;057298887277897660;706942077702786833
1981-09-08;2008-04-22;Erfolgreich;Dr. Ryszard Hofmann MBA.;Franz-Xaver Hermann B.Eng.;Repellat reiciendis saepe corrupti deserunt minima excepturi.;Überweisung;DE71471882479023764560;-576,79;630556189485857986;328318498336889156;350804246072761719
2017-02-10;1999-01-22;Abgelehnt;Andreas Haering;Alwin Killer-Schüler;Magni optio accusantium nostrum dolor vero.;Lastschrift;DE74289139826548773397;-353,7;097141704704272175;325724835183064939;103062310460642143
2019-11-07;2015-09-26;Erfolgreich;Ludwig Walter-Matthäi;Dr. Wolf-Rüdiger Nette MBA.;Maiores facere tempore nihil aliquid quibusdam repellendus.;Lastschrift;DE26302912146837295219;-569,67;702124404383648488;886976994916715169;227073811402162990
1989-09-15;2012-03-25;Abgelehnt;Aloys Boucsein;Reimer Hering-Conradi;Cupiditate aliquid saepe possimus exercitationem similique.;Überweisung;DE53425675011803751398;90,29;099512776811848837;362491237752077986;074563998503603536
2003-10-08;2007-11-13;Abgelehnt;Kornelius Wagner-Bohlander;Leszek Winkler;Nisi nesciunt illo maxime.;Überweisung;DE37280605235286519928;-578,11;516405708350289416;035014388799294402;182252061459125726
1975-02-15;1971-04-15;Erfolgreich;Frau Hanne Staude;Ing. Oliver Pieper MBA.;Eos consectetur molestiae explicabo quaerat in.;Lastschrift;DE91859320174865305024;-274,93;165385705669535514;184562457766635993;799065570329285217
1978-01-04;1995-01-31;Abgelehnt;Univ.Prof. Genoveva Löchel B.A.;Augustin Ullrich;Libero vero velit illo sapiente iure ea dolor.;Überweisung;DE03346578474429037744;-658,67;343822191069575693;029881757010221077;298763335887966742
1988-10-31;2007-11-14;Erfolgreich;Prof. Ingolf Barkholz B.Sc.;Univ.Prof. Vesna Kaul MBA.;Libero consequuntur modi facilis.;Lastschrift;DE63562271792328072815;-152,79;882212495447094080;431667604261569256;256757405509560589
2016-04-17;2014-11-19;Abgelehnt;Arzu Aumann;Marisa Dörr;Labore necessitatibus minima aperiam nisi vitae asperiores doloribus.;Überweisung;DE26684727739750897541;968,61;545421376975948196;605036693329101264;931302488459003964
1992-03-15;1973-07-28;Erfolgreich;Rudolf Fiebig B.Sc.;Valentine Möchlichen;Inventore atque placeat consequuntur ipsum ullam.;Überweisung;DE85853475098086805687;807,3;098205624502570340;995264751226495250;162180108328736532
1987-01-23;2011-11-21;Abgelehnt;Prof. Moritz Finke;Marika Weihmann-Trupp;Commodi eveniet porro nobis suscipit.;Überweisung;DE39857319676429727604;367,58;481430226468897758;848851257051734166;991886287728230572
1974-07-25;2004-05-24;Abgelehnt;Flora Albers-Junck;Brigitte Pärtzelt;Quod blanditiis alias neque accusantium voluptas incidunt.;Überweisung;DE96877072178630585215;695,93;807631918218039989;874160482233651041;652811347022172558
1995-03-30;1991-03-26;Abgelehnt;Joerg Kreusel;Dominik Krein;Nihil dolorem debitis numquam aliquam nam ratione.;Überweisung;DE72697669406624564261;336,36;912695010568408742;597278993018293404;903747747553239816
2002-11-12;2016-12-23;Erfolgreich;Kunigunde Siering;Günther Reising-Pruschke;Iure quas dolorem error.;Überweisung;DE48831603655923310587;-694,36;689378527221010913;466814470831281820;553284898527278669
1977-09-03;2015-02-21;Abgelehnt;Anna-Lena Heintze;Conrad Klapp;Porro voluptates perferendis nobis maiores enim.;Lastschrift;DE70084510123012222167;-238,0;236401796340211886;860397913410141336;422812420292539183
2004-08-31;1979-12-07;Erfolgreich;Ing. Annelene Thies;Massimo Schleich;Quam assumenda impedit dignissimos ab facilis.;Überweisung;DE94349009860791789102;-262,73;678662448311580259;371770463325990252;438372338770100485
2021-09-20;1982-06-20;Abgelehnt;Anne Lübs;Bruno Carsten;Quaerat est facilis quisquam.;Überweisung;DE44076371070178264804;0,99;788174601804902175;074440157015527223;079961270016439680
2009-10-13;1995-04-02;Erfolgreich;Zoltan Gehringer;Frau Mariola Tlustek B.Sc.;Eligendi minus labore ipsa aut blanditiis dolore.;Lastschrift;DE49566559243276120752;-0,2;178804145932725570;276230843011392208;204855318924774453
1986-12-07;2021-04-19;Abgelehnt;Ehrentraud Wilms;Margot Klingelhöfer;Perspiciatis error mollitia doloremque qui.;Überweisung;DE39838940074956320692;-830,04;046287996455330353;943043576994826762;874105271111133807
1994-02-04;2001-06-02;Abgelehnt;Fanny Ladeck;Wieslaw Henschel B.Sc.;Illo repellat animi quos.;Überweisung;DE91219780078522085311;293,0;972568495111682405;366045030192952035;659959573553583482
1984-09-13;1983-05-26;Abgelehnt;Dr. Francoise Henk;Friedrich Schacht;Fuga earum quis at.;Lastschrift;DE39959427337027322506;881,56;273449259677469860;101826986635144404;407104896002163197
1992-09-21;1974-07-10;Erfolgreich;Lisette Wulff B.Eng.;Ljubica Werner;Maiores repellendus voluptates.;Lastschrift;DE09438046237463162102;312,57;156065075005019822;268837970731917594;429368316422218595
2014-12-18;1972-02-17;Erfolgreich;Helga Mielcarek B.Eng.;Egbert Siering;Explicabo dolor quis ratione maxime illo tempore.;Überweisung;DE25114424871182062821;968,72;289850338508979203;341197131760459317;133892741360324174
1971-08-06;2002-08-17;Erfolgreich;Hildegunde Budig;Dipl.-Ing. Violetta Schinke;Culpa minus maxime.;Überweisung;DE30487390555580914048;848,52;988952187682334467;733223507174046368;324257987146487261
2015-02-15;1997-04-10;Abgelehnt;Hans-Gerd Trüb;Adrian Henk;Delectus hic distinctio.;Lastschrift;DE79021170383366914373;366,17;231306479807068895;248080540295178868;827477442609375489
1986-11-29;1980-01-10;Abgelehnt;Gundi Lindner B.Eng.;Hans-Georg Holsten;Illum adipisci ipsa sed id rem asperiores.;Lastschrift;DE13828922555680275487;784,6;999663205664913138;063424116438716529;503750853075811230
1988-02-12;1985-02-11;Erfolgreich;Herr Hans-Erich Peukert MBA.;Willibald Kraushaar;Consectetur quibusdam praesentium commodi quos incidunt.;Lastschrift;DE96397295315896424163;810,12;594520690882570869;028796033596165298;321488886754857529
1985-12-11;2011-05-08;Abgelehnt;Hansjörg Mülichen;Univ.Prof. Erika Bolander;Ipsum sunt cum voluptatem officia.;Überweisung;DE79972000353691333876;-36,45;290719887063555736;764993743704193844;600073898318085852
1975-02-14;1973-06-18;Erfolgreich;Torsten Lindau;Cathrin Hübel;Aliquam sint aspernatur odit.;Lastschrift;DE50023517286552824048;-339,5;702383665736583140;028576741276065058;253670236609331827
2018-11-25;1988-10-19;Erfolgreich;Arnim Kitzmann;Wera Wilmsen-Bähr;Eos praesentium esse temporibus saepe.;Überweisung;DE40342748436595073098;945,97;372597237569474724;508140840563211689;077117341183167105
1976-12-11;1988-09-10;Abgelehnt;Pauline auch Schlauchin;Arthur Heinz;Quasi provident incidunt iusto illum.;Lastschrift;DE74676036702392395334;884,18;121750700164189752;020142215057187226;125234772926957690
2008-12-09;1982-05-09;Erfolgreich;Dr. Elias Siering;Annegrete Schwital;Ab quas adipisci commodi aut.;Lastschrift;DE41577753463802148674;972,27;571085983859708977;857837799332546692;946897432195012372
2007-01-05;1992-11-11;Abgelehnt;Johannes Wulff;Claire Dowerg B.Sc.;Tempora repellat ratione consequatur alias magni eum corrupti.;Lastschrift;DE69630200654142101923;983,07;193746711965625491;304185762070244253;257598185738495222
1985-02-27;1979-05-26;Abgelehnt;Karla Meyer;Gertrud Gnatz;A officiis reprehenderit eaque molestiae adipisci quasi.;Überweisung;DE40348799508983149116;658,53;295481884529274978;950166701070010109;121625549947305585
1998-07-02;1978-07-08;Erfolgreich;Larissa Junck;Herr Heribert Kobelt;Rem aut suscipit nam.;Lastschrift;DE92796617402905789335;240,86;129292798292047589;632766221483798573;436220528048220948
1972-09-21;2003-11-23;Erfolgreich;Rebecca Atzler-Scholz;Mike Ullmann;Excepturi placeat asperiores ipsam.;Lastschrift;DE91468548379064215975;-46,88;431631000901687693;364743222959048049;654423171414951320
2020-03-20;1974-12-15;Erfolgreich;Monica Baum;Traude Eberhardt;Similique blanditiis numquam dolores.;Überweisung;DE75258764730416947068;-874,12;412991612248958083;057087451147711833;471734421886895789
2016-06-17;1981-10-09;Erfolgreich;Dr. Anette Schweitzer;Emmi Finke;Quod sequi veritatis eum.;Lastschrift;DE81338065028539259426;724,73;270055751743458458;949271935114377952;455555726741922193
1975-02-11;2018-02-04;Abgelehnt;Jeannine Binner;Hans-Jochen Baum;Earum rerum ipsa quidem eaque tenetur nemo at.;Lastschrift;DE30523288104898272630;837,38;746661871515217512;618917428414394295;841419891128420618
1999-07-12;1979-08-15;Erfolgreich;Iwan Wiek;Univ.Prof. Christoph Rädel;Eos ipsa et itaque provident consequatur commodi.;Überweisung;DE93510034918127947319;962,8;786763710491755284;307487618205161021;988517992027170500
2009-10-14;1983-04-03;Erfolgreich;Nikola Biggen-Matthäi;Dr. Grzegorz Bolnbach;Ipsum repellendus quasi.;Lastschrift;DE49325860075059244712;-19,85;727621807300192941;890523367456066350;149777494820203410
1976-01-30;1990-12-10;Erfolgreich;Univ.Prof. Alicia Schmidtke MBA.;Dipl.-Ing. Sylwia Haering;Quaerat veritatis saepe quod in culpa.;Überweisung;DE38160115671413409143;854,81;298925790577919839;574634425289231312;075936400099868342
2010-05-10;2008-06-23;Erfolgreich;Dr. Lotti Martin;Herr Christian Bender B.A.;Voluptate dolor nemo incidunt exercitationem placeat accusamus laborum.;Überweisung;DE60799408457454257051;292,24;805670106463303848;807333268424402894;962281309014362748
2021-11-12;1988-07-28;Abgelehnt;Dipl.-Ing. Genoveva Biggen B.A.;Rita Weinhold;Voluptas dolorem dolorem vitae nihil.;Überweisung;DE61807460531219645999;-36,57;992020334095522585;185499528834170654;364250070595108015
1991-04-28;1973-12-23;Abgelehnt;Luciano Schuchhardt;Prof. Klara Steckel B.Sc.;Aliquid necessitatibus ullam voluptatibus.;Lastschrift;DE23591786709783256819;340,7;819803608619952195;598430433746414252;945999779073789397
1990-04-03;1980-05-01;Abgelehnt;Ronald Kroker;Axel Meister;Distinctio amet nostrum quisquam aspernatur.;Überweisung;DE82005477964273171727;-836,21;688970591882871622;705310924241623093;517814321844011009
1993-08-12;1970-05-29;Erfolgreich;Ing. Gerlinde Davids B.A.;Univ.Prof. Waltraut Bolander MBA.;Praesentium similique distinctio atque quos.;Überweisung;DE47444005105312880930;638,95;209122607044814676;631085653245101205;547023228787001794
2020-08-02;1978-07-30;Abgelehnt;Reinhardt Becker-Dobes;Lara Ruppersberger;Ex architecto distinctio commodi neque.;Überweisung;DE70983267073619455041;-288,99;897633282554732842;901867978763394376;223929456761289190
1982-08-04;1980-06-08;Abgelehnt;Otmar Löwer;Dipl.-Ing. Friedl Pergande;Ratione sed unde sapiente.;Lastschrift;DE79156156153375043769;-925,32;919405656674980553;823014916865472276;654685502273710683
1970-07-30;2001-11-19;Abgelehnt;Irmela Haase-Lehmann;Ernestine Kühnert;Consequuntur harum voluptatem fugiat.;Lastschrift;DE98933205769044232625;-731,6;018096240500698733;528620687924357186;990076261294878903
1990-05-29;1988-03-04;Erfolgreich;Dipl.-Ing. Marcel Franke;Gretchen Kühnert MBA.;Dolorem soluta necessitatibus sequi.;Überweisung;DE44513873616065953851;-313,09;955467880040504043;744364198146338447;298969874978552262
2001-05-08;1992-11-17;Erfolgreich;Eberhardt Bachmann-Grein Groth;Fredy Schlosser;Libero dignissimos velit.;Überweisung;DE94701537288820055002;-575,07;736660940037514011;398087620222467776;978079479680854001
2009-03-13;1992-03-05;Erfolgreich;Rotraut Kade;Engelbert Striebitz B.Eng.;Accusantium maiores sunt commodi eveniet itaque iure dolorum.;Überweisung;DE79872798035204165491;261,01;702487504598071255;995791271823595937;997478785580906284
2019-03-08;2023-04-30;Erfolgreich;Silva Ring;Karl-Heinrich Kramer;Iure culpa laboriosam doloribus ut ab nisi.;Lastschrift;DE76048468002091057137;144,63;141317470343972330;110519930515233032;541134982754668711
2000-02-12;2024-01-09;Abgelehnt;Heidi Caspar;Bogdan Kitzmann-Jacobi Jäckel;Porro consequuntur laudantium libero.;Überweisung;DE96537249972211667162;40,01;847126114004784354;706639476712964435;777904162413550931
1993-11-19;2011-10-17;Erfolgreich;Frank-Peter Schuster;Prof. Wolfhard Löchel;Explicabo reiciendis minus molestiae.;Überweisung;DE61794586896919011745;240,01;663970149576511157;217383910343753575;948260980663148824
1997-06-04;1990-06-16;Abgelehnt;Francisco Jüttner;Dr. Svenja Buchholz B.A.;Maiores soluta eos doloribus quam.;Überweisung;DE29676636872088855124;337,02;925069385580537488;025588829352344160;007631016980520983
2022-02-05;1978-08-19;Erfolgreich;Ing. Sergej Mülichen;Herr Giorgio Jungfer;Aut itaque sequi molestias.;Lastschrift;DE59828944454188351290;-801,57;881261876147218174;308688648924557403;970941747405029918
2013-04-04;1975-11-22;Erfolgreich;Heinz-Dieter Müller B.Eng.;Dipl.-Ing. Annelie Meister MBA.;Quam eos nam distinctio officia illum possimus.;Überweisung;DE85013550733001043860;-384,31;017367209582720892;256757447982473397;724154897511586070
1992-08-27;2012-04-21;Abgelehnt;Susi Mülichen B.A.;Prof. Giovanna Rörricht B.Eng.;Excepturi laboriosam reprehenderit esse.;Lastschrift;DE67668353949600969490;94,25;758411321308535726;079913769411533374;834988562192222064
2003-09-10;2013-09-10;Abgelehnt;Radmila Stiebitz-Schmidt;Herr Janusz Lehmann;Dignissimos cumque iure cum labore expedita.;Überweisung;DE11021175655485687934;-976,1;496282869874976704;590011375342961112;910890142636058491
2015-01-05;2020-09-05;Abgelehnt;Joana Geisler;Dipl.-Ing. Murat Holzapfel B.Sc.;Illo vel neque quibusdam.;Überweisung;DE40027487294334626104;107,92;874447378861184212;175722688108347383;526132812069486523
2022-07-24;2019-11-26;Erfolgreich;Fredo Hettner;Hans-Ulrich Pruschke;Nihil eligendi distinctio sed praesentium.;Lastschrift;DE27312941656603197307;-307,04;436388633762318051;453283555031792293;538371071123149495
1982-10-22;1972-11-11;Abgelehnt;Manuela Birnbaum;Monique Sorgatz;Neque at aliquam voluptatum reprehenderit nobis repellat eos.;Lastschrift;DE47555231547484918974;-511,15;874514104343815730;048511436671799718;839973569281456153
1997-05-31;1998-09-20;Erfolgreich;Kordula Wernecke B.Sc.;Ulf Löffler;Similique accusantium unde quam vitae molestias.;Überweisung;DE08346027398641635625;309,98;453371613305545034;959107972004166264;820128626829793285
1977-11-11;1980-06-23;Abgelehnt;Konstantinos Kühnert-Schmidtke;Erdogan Hermighausen;Eum eaque consequuntur soluta.;Lastschrift;DE59793532321690722557;476,21;952217904561470104;237396506680129539;809261200010378909
2011-04-02;1997-12-26;Erfolgreich;Helmar Langern;Gertraud Budig;Assumenda fuga unde vel.;Überweisung;DE90595381377954724577;932,19;923646982422778209;299585773771555617;998590301987079527
1980-07-29;2006-05-24;Erfolgreich;Jovan Eimer;Karlfried Junitz B.Eng.;Soluta dignissimos eligendi.;Überweisung;DE02817726783759417036;342,85;935850756096567554;156221670620860783;256050231867868470
1972-03-27;1996-01-11;Abgelehnt;Dr. Friedl Weinhage B.Sc.;Helma Eigenwillig;Facilis iure recusandae mollitia quas qui.;Lastschrift;DE04750271746918810464;-499,37;548040800250538055;004869992126884170;511627903836482257
2010-12-23;1970-10-19;Erfolgreich;Dr. Alfons Scholtz B.A.;Hans D. Dörr;Dolorem perferendis quia.;Überweisung;DE11490491234463677577;995,92;616858048626381682;612246573001039679;531646129547272179
1981-11-22;1981-03-20;Erfolgreich;Frau Aneta Wilmsen;Norma Bolander;Itaque omnis ipsam ratione.;Lastschrift;DE14337328818724914266;-68,02;412651652854926389;806828319652415900;809097832324588789
1997-05-15;1985-09-14;Abgelehnt;Reimer Dörr;Dipl.-Ing. Iwona Henck;Odit porro vitae placeat.;Lastschrift;DE59224617249338439159;-669,09;056532223024837830;061245260604788806;808486207991935116
2004-08-04;2012-01-03;Erfolgreich;Rochus Drubin;Sigfried Trüb;Delectus recusandae labore iste.;Lastschrift;DE97070293768220499913;536,21;539263888633447168;734179967624533397;283562368342837564
