"Girokonto";"DE1234567890123456789"
""
"Kontostand vom 14.03.2024:";"4.671,15 €"
""
"Buchungsdatum";"Wertstellung";"Status";"Zahlungspflichtige*r";"Zahlungsempfänger*in";"Verwendungszweck";"Umsatztyp";"IBAN";"Betrag (€)";"Gläubiger-ID";"Mandatsreferenz";"Kundenreferenz"
"20.02.24";"20.02.24";"Abgeschlossen";"Max Mustermann";"Tanken";"Tankstelle";"";"DE9876543210987654321";"-63,35";"";"";""
"22.02.24";"22.02.24";"Abgeschlossen";"Max Mustermann";"Tanken";"Tankstelle";"";"DE9876543210987654321";"-135,49";"";"";""
"23.02.24";"23.02.24";"Abgeschlossen";"Max Mustermann";"Lebensmittel";"Supermarkt";"";"DE2345678901234567890";"-188,53";"";"";""
"24.02.24";"24.02.24";"Abgeschlossen";"Max Mustermann";"Lebensmittel";"Supermarkt";"";"DE2345678901234567890";"-145,61";"";"";""
"25.02.24";"25.02.24";"Abgeschlossen";"Max Mustermann";"Kleidungskauf";"Kleidung";"";"DE6789012345678901234";"-232,80";"";"";""
"28.03.24";"28.03.24";"Abgeschlossen";"Max Mustermann";"Gehaltseingang";"Gehalt";"";"DE1234567890123456789";"+3775,26";"";"";""
"30.03.24";"30.03.24";"Abgeschlossen";"Max Mustermann";"Kleidungskauf";"Kleidung";"";"DE6789012345678901234";"-114,54";"";"";""
"02.04.24";"02.04.24";"Abgeschlossen";"Max Mustermann";"Tanken";"Tankstelle";"";"DE9876543210987654321";"-106,50";"";"";""
"05.04.24";"05.04.24";"Abgeschlossen";"Max Mustermann";"Essen gehen";"Restaurant";"";"DE3456789012345678901";"-27,79";"";"";""
"08.04.24";"08.04.24";"Abgeschlossen";"Max Mustermann";"Kleidungskauf";"Kleidung";"";"DE6789012345678901234";"-89,39";"";"";""
"09.04.24";"09.04.24";"Abgeschlossen";"Max Mustermann";"Essen gehen";"Restaurant";"";"DE3456789012345678901";"-87,29";"";"";""
"12.04.24";"12.04.24";"Abgeschlossen";"Max Mustermann";"Lebensmittel";"Supermarkt";"";"DE2345678901234567890";"-172,13";"";"";""
"13.04.24";"13.04.24";"Abgeschlossen";"Max Mustermann";"Lebensmittel";"Supermarkt";"";"DE2345678901234567890";"-130,07";"";"";""
"15.04.24";"15.04.24";"Abgeschlossen";"Max Mustermann";"Elektronikartikel";"Elektronik";"";"DE5678901234567890123";"-911,79";"";"";""
"18.05.24";"18.05.24";"Abgeschlossen";"Max Mustermann";"Gehaltseingang";"Gehalt";"";"DE1234567890123456789";"+4777,55";"";"";""
"20.05.24";"20.05.24";"Abgeschlossen";"Max Mustermann";"Tanken";"Tankstelle";"";"DE9876543210987654321";"-102,11";"";"";""
"22.05.24";"22.05.24";"Abgeschlossen";"Max Mustermann";"Kinoabend";"Kino";"";"DE4567890123456789012";"-45,97";"";"";""
"25.05.24";"25.05.24";"Abgeschlossen";"Max Mustermann";"Kleidungskauf";"Kleidung";"";"DE6789012345678901234";"-244,78";"";"";""
"28.05.24";"28.05.24";"Abgeschlossen";"Max Mustermann";"Kleidungskauf";"Kleidung";"";"DE6789012345678901234";"-182,44";"";"";""
"29.05.24";"29.05.24";"Abgeschlossen";"Max Mustermann";"Kleidungskauf";"Kleidung";"";"DE6789012345678901234";"-124,29";"";"";""
"30.05.24";"30.05.24";"Abgeschlossen";"Max Mustermann";"Tanken";"Tankstelle";"";"DE9876543210987654321";"-62,51";"";"";""
"31.05.24";"31.05.24";"Abgeschlossen";"Max Mustermann";"Lebensmittel";"Supermarkt";"";"DE2345678901234567890";"-111,16";"";"";""
"01.06.24";"01.06.24";"Abgeschlossen";"Max Mustermann";"Lebensmittel";"Supermarkt";"";"DE2345678901234567890";"-96,90";"";"";""
"04.07.24";"04.07.24";"Abgeschlossen";"Max Mustermann";"Gehaltseingang";"Gehalt";"";"DE1234567890123456789";"+3155,69";"";"";""
"05.07.24";"05.07.24";"Abgeschlossen";"Max Mustermann";"Kinoabend";"Kino";"";"DE4567890123456789012";"-34,45";"";"";""
"07.07.24";"07.07.24";"Abgeschlossen";"Max Mustermann";"Tanken";"Tankstelle";"";"DE9876543210987654321";"-103,95";"";"";""
"08.07.24";"08.07.24";"Abgeschlossen";"Max Mustermann";"Lebensmittel";"Supermarkt";"";"DE2345678901234567890";"-136,89";"";"";""
"09.07.24";"09.07.24";"Abgeschlossen";"Max Mustermann";"Elektronikartikel";"Elektronik";"";"DE5678901234567890123";"-938,24";"";"";""
"12.07.24";"12.07.24";"Abgeschlossen";"Max Mustermann";"Essen gehen";"Restaurant";"";"DE3456789012345678901";"-67,49";"";"";""
"14.07.24";"14.07.24";"Abgeschlossen";"Max Mustermann";"Tanken";"Tankstelle";"";"DE9876543210987654321";"-150,79";"";"";""
"17.07.24";"17.07.24";"Abgeschlossen";"Max Mustermann";"Lebensmittel";"Supermarkt";"";"DE2345678901234567890";"-144,90";"";"";""
"19.07.24";"19.07.24";"Abgeschlossen";"Max Mustermann";"Essen gehen";"Restaurant";"";"DE3456789012345678901";"-88,82";"";"";""
"20.08.24";"20.08.24";"Abgeschlossen";"Max Mustermann";"Gehaltseingang";"Gehalt";"";"DE1234567890123456789";"+2558,35";"";"";""
"23.08.24";"23.08.24";"Abgeschlossen";"Max Mustermann";"Essen gehen";"Restaurant";"";"DE3456789012345678901";"-58,76";"";"";""
"24.08.24";"24.08.24";"Abgeschlossen";"Max Mustermann";"Lebensmittel";"Supermarkt";"";"DE2345678901234567890";"-49,94";"";"";""
"25.08.24";"25.08.24";"Abgeschlossen";"Max Mustermann";"Essen gehen";"Restaurant";"";"DE3456789012345678901";"-65,28";"";"";""
"27.08.24";"27.08.24";"Abgeschlossen";"Max Mustermann";"Essen gehen";"Restaurant";"";"DE3456789012345678901";"-12,56";"";"";""
"28.08.24";"28.08.24";"Abgeschlossen";"Max Mustermann";"Lebensmittel";"Supermarkt";"";"DE2345678901234567890";"-181,32";"";"";""
"29.08.24";"29.08.24";"Abgeschlossen";"Max Mustermann";"Kinoabend";"Kino";"";"DE4567890123456789012";"-41,56";"";"";""
"30.08.24";"30.08.24";"Abgeschlossen";"Max Mustermann";"Lebensmittel";"Supermarkt";"";"DE2345678901234567890";"-135,35";"";"";""
"01.09.24";"01.09.24";"Abgeschlossen";"Max Mustermann";"Lebensmittel";"Supermarkt";"";"DE2345678901234567890";"-165,60";"";"";""
"02.10.24";"02.10.24";"Abgeschlossen";"Max Mustermann";"Gehaltseingang";"Gehalt";"";"DE1234567890123456789";"+3353,71";"";"";""
"04.10.24";"04.10.24";"Abgeschlossen";"Max Mustermann";"Lebensmittel";"Supermarkt";"";"DE2345678901234567890";"-171,47";"";"";""
"07.10.24";"07.10.24";"Abgeschlossen";"Max Mustermann";"Lebensmittel";"Supermarkt";"";"DE2345678901234567890";"-57,72";"";"";""
"08.10.24";"08.10.24";"Abgeschlossen";"Max Mustermann";"Lebensmittel";"Supermarkt";"";"DE2345678901234567890";"-30,31";"";"";""
"09.10.24";"09.10.24";"Abgeschlossen";"Max Mustermann";"Lebensmittel";"Supermarkt";"";"DE2345678901234567890";"-33,54";"";"";""
"11.10.24";"11.10.24";"Abgeschlossen";"Max Mustermann";"Lebensmittel";"Supermarkt";"";"DE2345678901234567890";"-175,30";"";"";""
"14.10.24";"14.10.24";"Abgeschlossen";"Max Mustermann";"Elektronikartikel";"Elektronik";"";"DE5678901234567890123";"-1934,52";"";"";""
"17.10.24";"17.10.24";"Abgeschlossen";"Max Mustermann";"Kleidungskauf";"Kleidung";"";"DE6789012345678901234";"-239,38";"";"";""
"20.10.24";"20.10.24";"Abgeschlossen";"Max Mustermann";"Kleidungskauf";"Kleidung";"";"DE6789012345678901234";"-298,28";"";"";""
"23.11.24";"23.11.24";"Abgeschlossen";"Max Mustermann";"Gehaltseingang";"Gehalt";"";"DE1234567890123456789";"+4850,37";"";"";""
"24.11.24";"24.11.24";"Abgeschlossen";"Max Mustermann";"Lebensmittel";"Supermarkt";"";"DE2345678901234567890";"-175,90";"";"";""
"25.11.24";"25.11.24";"Abgeschlossen";"Max Mustermann";"Kleidungskauf";"Kleidung";"";"DE6789012345678901234";"-58,62";"";"";""
"26.11.24";"26.11.24";"Abgeschlossen";"Max Mustermann";"Tanken";"Tankstelle";"";"DE9876543210987654321";"-65,37";"";"";""
"29.11.24";"29.11.24";"Abgeschlossen";"Max Mustermann";"Lebensmittel";"Supermarkt";"";"DE2345678901234567890";"-175,28";"";"";""
"30.11.24";"30.11.24";"Abgeschlossen";"Max Mustermann";"Tanken";"Tankstelle";"";"DE9876543210987654321";"-64,78";"";"";""
"03.12.24";"03.12.24";"Abgeschlossen";"Max Mustermann";"Lebensmittel";"Supermarkt";"";"DE2345678901234567890";"-81,78";"";"";""
"04.12.24";"04.12.24";"Abgeschlossen";"Max Mustermann";"Lebensmittel";"Supermarkt";"";"DE2345678901234567890";"-161,85";"";"";""
"05.12.24";"05.12.24";"Abgeschlossen";"Max Mustermann";"Lebensmittel";"Supermarkt";"";"DE2345678901234567890";"-152,40";"";"";""
"06.01.25";"06.01.25";"Abgeschlossen";"Max Mustermann";"Gehaltseingang";"Gehalt";"";"DE1234567890123456789";"+2581,73";"";"";""
"07.01.25";"07.01.25";"Abgeschlossen";"Max Mustermann";"Essen gehen";"Restaurant";"";"DE3456789012345678901";"-54,77";"";"";""
"09.01.25";"09.01.25";"Abgeschlossen";"Max Mustermann";"Kleidungskauf";"Kleidung";"";"DE6789012345678901234";"-107,66";"";"";""
"10.01.25";"10.01.25";"Abgeschlossen";"Max Mustermann";"Lebensmittel";"Supermarkt";"";"DE2345678901234567890";"-122,95";"";"";""
"13.01.25";"13.01.25";"Abgeschlossen";"Max Mustermann";"Tanken";"Tankstelle";"";"DE9876543210987654321";"-111,77";"";"";""
"14.01.25";"14.01.25";"Abgeschlossen";"Max Mustermann";"Kinoabend";"Kino";"";"DE4567890123456789012";"-20,59";"";"";""
"17.01.25";"17.01.25";"Abgeschlossen";"Max Mustermann";"Tanken";"Tankstelle";"";"DE9876543210987654321";"-56,85";"";"";""
"19.01.25";"19.01.25";"Abgeschlossen";"Max Mustermann";"Tanken";"Tankstelle";"";"DE9876543210987654321";"-66,41";"";"";""
"22.01.25";"22.01.25";"Abgeschlossen";"Max Mustermann";"Lebensmittel";"Supermarkt";"";"DE2345678901234567890";"-156,08";"";"";""
"24.02.25";"24.02.25";"Abgeschlossen";"Max Mustermann";"Gehaltseingang";"Gehalt";"";"DE1234567890123456789";"+4418,78";"";"";""
"26.02.25";"26.02.25";"Abgeschlossen";"Max Mustermann";"Essen gehen";"Restaurant";"";"DE3456789012345678901";"-43,71";"";"";""
"01.03.25";"01.03.25";"Abgeschlossen";"Max Mustermann";"Lebensmittel";"Supermarkt";"";"DE2345678901234567890";"-141,01";"";"";""
"02.03.25";"02.03.25";"Abgeschlossen";"Max Mustermann";"Lebensmittel";"Supermarkt";"";"DE2345678901234567890";"-122,91";"";"";""
"05.03.25";"05.03.25";"Abgeschlossen";"Max Mustermann";"Essen gehen";"Restaurant";"";"DE3456789012345678901";"-56,57";"";"";""
"07.03.25";"07.03.25";"Abgeschlossen";"Max Mustermann";"Tanken";"Tankstelle";"";"DE9876543210987654321";"-109,77";"";"";""
"10.03.25";"10.03.25";"Abgeschlossen";"Max Mustermann";"Essen gehen";"Restaurant";"";"DE3456789012345678901";"-66,20";"";"";""
"11.03.25";"11.03.25";"Abgeschlossen";"Max Mustermann";"Essen gehen";"Restaurant";"";"DE3456789012345678901";"-83,66";"";"";""
"14.03.25";"14.03.25";"Abgeschlossen";"Max Mustermann";"Kinoabend";"Kino";"";"DE4567890123456789012";"-31,37";"";"";""
"15.04.25";"15.04.25";"Abgeschlossen";"Max Mustermann";"Gehaltseingang";"Gehalt";"";"DE1234567890123456789";"+2665,95";"";"";""
"16.04.25";"16.04.25";"Abgeschlossen";"Max Mustermann";"Kinoabend";"Kino";"";"DE4567890123456789012";"-16,25";"";"";""
"17.04.25";"17.04.25";"Abgeschlossen";"Max Mustermann";"Lebensmittel";"Supermarkt";"";"DE2345678901234567890";"-60,79";"";"";""
"19.04.25";"19.04.25";"Abgeschlossen";"Max Mustermann";"Tanken";"Tankstelle";"";"DE9876543210987654321";"-69,30";"";"";""
"22.04.25";"22.04.25";"Abgeschlossen";"Max Mustermann";"Lebensmittel";"Supermarkt";"";"DE2345678901234567890";"-191,08";"";"";""
"25.04.25";"25.04.25";"Abgeschlossen";"Max Mustermann";"Tanken";"Tankstelle";"";"DE9876543210987654321";"-52,91";"";"";""
"26.04.25";"26.04.25";"Abgeschlossen";"Max Mustermann";"Tanken";"Tankstelle";"";"DE9876543210987654321";"-65,42";"";"";""
"27.04.25";"27.04.25";"Abgeschlossen";"Max Mustermann";"Essen gehen";"Restaurant";"";"DE3456789012345678901";"-98,24";"";"";""
"29.04.25";"29.04.25";"Abgeschlossen";"Max Mustermann";"Tanken";"Tankstelle";"";"DE9876543210987654321";"-66,88";"";"";""
"01.06.25";"01.06.25";"Abgeschlossen";"Max Mustermann";"Gehaltseingang";"Gehalt";"";"DE1234567890123456789";"+3897,44";"";"";""
"04.06.25";"04.06.25";"Abgeschlossen";"Max Mustermann";"Essen gehen";"Restaurant";"";"DE3456789012345678901";"-90,53";"";"";""
"06.06.25";"06.06.25";"Abgeschlossen";"Max Mustermann";"Essen gehen";"Restaurant";"";"DE3456789012345678901";"-81,26";"";"";""
"07.06.25";"07.06.25";"Abgeschlossen";"Max Mustermann";"Tanken";"Tankstelle";"";"DE9876543210987654321";"-91,97";"";"";""
"08.06.25";"08.06.25";"Abgeschlossen";"Max Mustermann";"Elektronikartikel";"Elektronik";"";"DE5678901234567890123";"-1461,49";"";"";""
"10.06.25";"10.06.25";"Abgeschlossen";"Max Mustermann";"Tanken";"Tankstelle";"";"DE9876543210987654321";"-79,90";"";"";""
"13.06.25";"13.06.25";"Abgeschlossen";"Max Mustermann";"Essen gehen";"Restaurant";"";"DE3456789012345678901";"-64,07";"";"";""
"14.06.25";"14.06.25";"Abgeschlossen";"Max Mustermann";"Lebensmittel";"Supermarkt";"";"DE2345678901234567890";"-189,32";"";"";""
"15.06.25";"15.06.25";"Abgeschlossen";"Max Mustermann";"Elektronikartikel";"Elektronik";"";"DE5678901234567890123";"-746,67";"";"";""
"16.07.25";"16.07.25";"Abgeschlossen";"Max Mustermann";"Gehaltseingang";"Gehalt";"";"DE1234567890123456789";"+2133,13";"";"";""
"18.07.25";"18.07.25";"Abgeschlossen";"Max Mustermann";"Tanken";"Tankstelle";"";"DE9876543210987654321";"-96,54";"";"";""
"19.07.25";"19.07.25";"Abgeschlossen";"Max Mustermann";"Lebensmittel";"Supermarkt";"";"DE2345678901234567890";"-172,96";"";"";""
"21.07.25";"21.07.25";"Abgeschlossen";"Max Mustermann";"Kinoabend";"Kino";"";"DE4567890123456789012";"-42,78";"";"";""
"23.07.25";"23.07.25";"Abgeschlossen";"Max Mustermann";"Kinoabend";"Kino";"";"DE4567890123456789012";"-35,78";"";"";""
"26.07.25";"26.07.25";"Abgeschlossen";"Max Mustermann";"Lebensmittel";"Supermarkt";"";"DE2345678901234567890";"-152,48";"";"";""
"27.07.25";"27.07.25";"Abgeschlossen";"Max Mustermann";"Tanken";"Tankstelle";"";"DE9876543210987654321";"-131,22";"";"";""
"28.07.25";"28.07.25";"Abgeschlossen";"Max Mustermann";"Kinoabend";"Kino";"";"DE4567890123456789012";"-31,96";"";"";""
"29.07.25";"29.07.25";"Abgeschlossen";"Max Mustermann";"Elektronikartikel";"Elektronik";"";"DE5678901234567890123";"-1521,78";"";"";""
"30.08.25";"30.08.25";"Abgeschlossen";"Max Mustermann";"Gehaltseingang";"Gehalt";"";"DE1234567890123456789";"+4047,22";"";"";""
"01.09.25";"01.09.25";"Abgeschlossen";"Max Mustermann";"Kleidungskauf";"Kleidung";"";"DE6789012345678901234";"-166,04";"";"";""
"03.09.25";"03.09.25";"Abgeschlossen";"Max Mustermann";"Tanken";"Tankstelle";"";"DE9876543210987654321";"-114,26";"";"";""
"04.09.25";"04.09.25";"Abgeschlossen";"Max Mustermann";"Lebensmittel";"Supermarkt";"";"DE2345678901234567890";"-121,49";"";"";""
"06.09.25";"06.09.25";"Abgeschlossen";"Max Mustermann";"Essen gehen";"Restaurant";"";"DE3456789012345678901";"-16,41";"";"";""
"08.09.25";"08.09.25";"Abgeschlossen";"Max Mustermann";"Lebensmittel";"Supermarkt";"";"DE2345678901234567890";"-125,92";"";"";""
"10.09.25";"10.09.25";"Abgeschlossen";"Max Mustermann";"Lebensmittel";"Supermarkt";"";"DE2345678901234567890";"-69,39";"";"";""
"12.09.25";"12.09.25";"Abgeschlossen";"Max Mustermann";"Elektronikartikel";"Elektronik";"";"DE5678901234567890123";"-1754,64";"";"";""
"14.09.25";"14.09.25";"Abgeschlossen";"Max Mustermann";"Tanken";"Tankstelle";"";"DE9876543210987654321";"-146,65";"";"";""
"17.10.25";"17.10.25";"Abgeschlossen";"Max Mustermann";"Gehaltseingang";"Gehalt";"";"DE1234567890123456789";"+3630,13";"";"";""
"20.10.25";"20.10.25";"Abgeschlossen";"Max Mustermann";"Lebensmittel";"Supermarkt";"";"DE2345678901234567890";"-79,06";"";"";""
"22.10.25";"22.10.25";"Abgeschlossen";"Max Mustermann";"Lebensmittel";"Supermarkt";"";"DE2345678901234567890";"-157,47";"";"";""
"25.10.25";"25.10.25";"Abgeschlossen";"Max Mustermann";"Essen gehen";"Restaurant";"";"DE3456789012345678901";"-33,89";"";"";""
"26.10.25";"26.10.25";"Abgeschlossen";"Max Mustermann";"Tanken";"Tankstelle";"";"DE9876543210987654321";"-87,38";"";"";""
"27.10.25";"27.10.25";"Abgeschlossen";"Max Mustermann";"Lebensmittel";"Supermarkt";"";"DE2345678901234567890";"-157,76";"";"";""
"28.10.25";"28.10.25";"Abgeschlossen";"Max Mustermann";"Essen gehen";"Restaurant";"";"DE3456789012345678901";"-15,55";"";"";""
"31.10.25";"31.10.25";"Abgeschlossen";"Max Mustermann";"Lebensmittel";"Supermarkt";"";"DE2345678901234567890";"-198,71";"";"";""
"01.11.25";"01.11.25";"Abgeschlossen";"Max Mustermann";"Essen gehen";"Restaurant";"";"DE3456789012345678901";"-90,73";"";"";""
"02.12.25";"02.12.25";"Abgeschlossen";"Max Mustermann";"Gehaltseingang";"Gehalt";"";"DE1234567890123456789";"+3800,19";"";"";""
"03.12.25";"03.12.25";"Abgeschlossen";"Max Mustermann";"Tanken";"Tankstelle";"";"DE9876543210987654321";"-90,19";"";"";""
"05.12.25";"05.12.25";"Abgeschlossen";"Max Mustermann";"Essen gehen";"Restaurant";"";"DE3456789012345678901";"-81,54";"";"";""
"08.12.25";"08.12.25";"Abgeschlossen";"Max Mustermann";"Tanken";"Tankstelle";"";"DE9876543210987654321";"-141,61";"";"";""
"10.12.25";"10.12.25";"Abgeschlossen";"Max Mustermann";"Tanken";"Tankstelle";"";"DE9876543210987654321";"-114,62";"";"";""
"11.12.25";"11.12.25";"Abgeschlossen";"Max Mustermann";"Tanken";"Tankstelle";"";"DE9876543210987654321";"-128,95";"";"";""
"12.12.25";"12.12.25";"Abgeschlossen";"Max Mustermann";"Lebensmittel";"Supermarkt";"";"DE2345678901234567890";"-154,22";"";"";""
"13.12.25";"13.12.25";"Abgeschlossen";"Max Mustermann";"Lebensmittel";"Supermarkt";"";"DE2345678901234567890";"-34,19";"";"";""
"14.12.25";"14.12.25";"Abgeschlossen";"Max Mustermann";"Essen gehen";"Restaurant";"";"DE3456789012345678901";"-56,87";"";"";""
"16.01.26";"16.01.26";"Abgeschlossen";"Max Mustermann";"Gehaltseingang";"Gehalt";"";"DE1234567890123456789";"+2146,35";"";"";""
"18.01.26";"18.01.26";"Abgeschlossen";"Max Mustermann";"Kleidungskauf";"Kleidung";"";"DE6789012345678901234";"-147,36";"";"";""
"19.01.26";"19.01.26";"Abgeschlossen";"Max Mustermann";"Lebensmittel";"Supermarkt";"";"DE2345678901234567890";"-51,26";"";"";""
"20.01.26";"20.01.26";"Abgeschlossen";"Max Mustermann";"Kleidungskauf";"Kleidung";"";"DE6789012345678901234";"-210,56";"";"";""
"22.01.26";"22.01.26";"Abgeschlossen";"Max Mustermann";"Essen gehen";"Restaurant";"";"DE3456789012345678901";"-97,79";"";"";""
"25.01.26";"25.01.26";"Abgeschlossen";"Max Mustermann";"Tanken";"Tankstelle";"";"DE9876543210987654321";"-113,98";"";"";""
"27.01.26";"27.01.26";"Abgeschlossen";"Max Mustermann";"Lebensmittel";"Supermarkt";"";"DE2345678901234567890";"-60,09";"";"";""
"30.01.26";"30.01.26";"Abgeschlossen";"Max Mustermann";"Essen gehen";"Restaurant";"";"DE3456789012345678901";"-63,46";"";"";""
"31.01.26";"31.01.26";"Abgeschlossen";"Max Mustermann";"Essen gehen";"Restaurant";"";"DE3456789012345678901";"-11,97";"";"";""
"02.03.26";"02.03.26";"Abgeschlossen";"Max Mustermann";"Gehaltseingang";"Gehalt";"";"DE1234567890123456789";"+4446,29";"";"";""
"05.03.26";"05.03.26";"Abgeschlossen";"Max Mustermann";"Essen gehen";"Restaurant";"";"DE3456789012345678901";"-67,70";"";"";""
"07.03.26";"07.03.26";"Abgeschlossen";"Max Mustermann";"Tanken";"Tankstelle";"";"DE9876543210987654321";"-59,39";"";"";""
"08.03.26";"08.03.26";"Abgeschlossen";"Max Mustermann";"Lebensmittel";"Supermarkt";"";"DE2345678901234567890";"-30,47";"";"";""
"10.03.26";"10.03.26";"Abgeschlossen";"Max Mustermann";"Tanken";"Tankstelle";"";"DE9876543210987654321";"-143,76";"";"";""
"12.03.26";"12.03.26";"Abgeschlossen";"Max Mustermann";"Tanken";"Tankstelle";"";"DE9876543210987654321";"-55,70";"";"";""
"13.03.26";"13.03.26";"Abgeschlossen";"Max Mustermann";"Essen gehen";"Restaurant";"";"DE3456789012345678901";"-36,56";"";"";""
"15.03.26";"15.03.26";"Abgeschlossen";"Max Mustermann";"Kinoabend";"Kino";"";"DE4567890123456789012";"-38,19";"";"";""
"17.03.26";"17.03.26";"Abgeschlossen";"Max Mustermann";"Kleidungskauf";"Kleidung";"";"DE6789012345678901234";"-214,20";"";"";""
"20.04.26";"20.04.26";"Abgeschlossen";"Max Mustermann";"Gehaltseingang";"Gehalt";"";"DE1234567890123456789";"+3077,23";"";"";""
"21.04.26";"21.04.26";"Abgeschlossen";"Max Mustermann";"Tanken";"Tankstelle";"";"DE9876543210987654321";"-103,04";"";"";""
"24.04.26";"24.04.26";"Abgeschlossen";"Max Mustermann";"Lebensmittel";"Supermarkt";"";"DE2345678901234567890";"-189,87";"";"";""
"26.04.26";"26.04.26";"Abgeschlossen";"Max Mustermann";"Elektronikartikel";"Elektronik";"";"DE5678901234567890123";"-577,05";"";"";""
"28.04.26";"28.04.26";"Abgeschlossen";"Max Mustermann";"Tanken";"Tankstelle";"";"DE9876543210987654321";"-145,36";"";"";""
"01.05.26";"01.05.26";"Abgeschlossen";"Max Mustermann";"Lebensmittel";"Supermarkt";"";"DE2345678901234567890";"-48,28";"";"";""
"04.05.26";"04.05.26";"Abgeschlossen";"Max Mustermann";"Lebensmittel";"Supermarkt";"";"DE2345678901234567890";"-41,33";"";"";""
"07.05.26";"07.05.26";"Abgeschlossen";"Max Mustermann";"Lebensmittel";"Supermarkt";"";"DE2345678901234567890";"-183,77";"";"";""
"09.05.26";"09.05.26";"Abgeschlossen";"Max Mustermann";"Elektronikartikel";"Elektronik";"";"DE5678901234567890123";"-1637,73";"";"";""
"10.06.26";"10.06.26";"Abgeschlossen";"Max Mustermann";"Gehaltseingang";"Gehalt";"";"DE1234567890123456789";"+4666,80";"";"";""
"12.06.26";"12.06.26";"Abgeschlossen";"Max Mustermann";"Tanken";"Tankstelle";"";"DE9876543210987654321";"-147,12";"";"";""
"13.06.26";"13.06.26";"Abgeschlossen";"Max Mustermann";"Tanken";"Tankstelle";"";"DE9876543210987654321";"-136,65";"";"";""
"16.06.26";"16.06.26";"Abgeschlossen";"Max Mustermann";"Tanken";"Tankstelle";"";"DE9876543210987654321";"-124,31";"";"";""
"17.06.26";"17.06.26";"Abgeschlossen";"Max Mustermann";"Essen gehen";"Restaurant";"";"DE3456789012345678901";"-59,67";"";"";""
"20.06.26";"20.06.26";"Abgeschlossen";"Max Mustermann";"Essen gehen";"Restaurant";"";"DE3456789012345678901";"-16,26";"";"";""
"23.06.26";"23.06.26";"Abgeschlossen";"Max Mustermann";"Tanken";"Tankstelle";"";"DE9876543210987654321";"-68,24";"";"";""
"25.06.26";"25.06.26";"Abgeschlossen";"Max Mustermann";"Essen gehen";"Restaurant";"";"DE3456789012345678901";"-23,49";"";"";""
"28.06.26";"28.06.26";"Abgeschlossen";"Max Mustermann";"Kleidungskauf";"Kleidung";"";"DE6789012345678901234";"-166,86";"";"";""
"30.07.26";"30.07.26";"Abgeschlossen";"Max Mustermann";"Gehaltseingang";"Gehalt";"";"DE1234567890123456789";"+3004,28";"";"";""
"31.07.26";"31.07.26";"Abgeschlossen";"Max Mustermann";"Tanken";"Tankstelle";"";"DE9876543210987654321";"-68,95";"";"";""
"01.08.26";"01.08.26";"Abgeschlossen";"Max Mustermann";"Tanken";"Tankstelle";"";"DE9876543210987654321";"-123,28";"";"";""
"02.08.26";"02.08.26";"Abgeschlossen";"Max Mustermann";"Tanken";"Tankstelle";"";"DE9876543210987654321";"-59,84";"";"";""
"03.08.26";"03.08.26";"Abgeschlossen";"Max Mustermann";"Elektronikartikel";"Elektronik";"";"DE5678901234567890123";"-428,89";"";"";""
